Rk,Player,Age,Team,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
95,Glen Gondrezick,26,DEN,SF,3,51,14.2,.422,.050,.150,6.3,11.2,8.7,20.9,1.8,1.0,0.0,16.2,0.1,0.0,0.1,.082,0.3,1.4,1.7,0.0,,gondrgl01
96,Steve Mix,34,PHI,SF,7,50,19.3,.598,.045,.318,9.3,15.2,12.4,19.1,0.0,0.0,13.8,24.4,0.1,0.0,0.2,.157,5.2,-1.6,3.7,0.1,,mixst01
97,Scott May,27,MIL,SF,4,50,8.5,.325,.000,.700,16.3,11.3,14.0,27.6,2.0,0.0,18.7,27.3,-0.1,0.0,-0.1,-0.115,-2.8,-2.3,-5.1,0.0,,maysc01
98,Tom McMillen,29,ATL,C,2,47,16.0,.639,.000,.462,0.0,21.8,9.8,4.7,3.5,0.0,16.1,18.6,0.1,0.0,0.1,.102,-0.3,3.0,2.7,0.1,,mcmilto01
99,Jeff Cook,25,PHO,PF,7,45,13.0,.500,.000,.000,14.0,7.6,10.9,17.8,2.1,2.4,20.0,8.7,0.1,0.0,0.1,.071,0.3,1.5,1.8,0.0,,cookje01
100,Cedrick Hordges,25,DEN,PF,3,45,10.3,.458,.053,.211,4.7,27.9,15.9,5.4,1.0,0.0,16.2,21.3,-0.1,0.0,0.0,-0.041,-3.9,-1.8,-5.7,0.0,,hordgce01
101,Pat Cummings,25,MIL,PF,6,44,4.0,.379,.000,.182,7.9,25.8,16.0,6.4,0.0,2.8,25.2,15.3,-0.1,0.0,-0.1,-0.094,-6.2,-1.0,-7.3,-0.1,,cummipa01
102,Mike O'Koren,23,NJN,SF,2,44,1.8,.295,.091,.182,0.0,22.4,10.8,9.7,1.1,0.0,14.4,13.5,-0.1,0.1,0.0,-0.053,-9.8,0.2,-9.6,-0.1,,okoremi01
103,Clay Johnson,25,LAL,SG,7,38,8.4,.607,.000,.222,2.9,5.3,4.2,3.1,1.2,0.0,9.2,11.3,0.1,0.0,0.1,.097,-1.6,-1.1,-2.7,0.0,,johnscl02
104,Mike Glenn,26,ATL,SG,2,35,15.6,.761,.000,.286,0.0,4.2,1.9,11.9,4.7,0.0,20.2,13.2,0.1,0.0,0.1,.130,-0.1,4.9,4.8,0.1,,glennmi01
105,Billy Paultz,33,HOU,C,3,34,4.5,.339,.000,.333,5.6,6.2,5.9,4.5,0.0,3.3,8.8,14.7,-0.1,0.0,0.0,-0.057,-5.1,-0.9,-5.9,0.0,,paultbi01
106,Franklin Edwards,22,PHI,PG,9,32,41.1,.689,.050,.450,7.3,10.2,8.8,31.6,4.6,0.0,7.7,34.0,0.2,0.0,0.3,.435,17.0,4.9,21.9,0.2,,edwarfr01
107,Ray Tolbert,23,SEA,PF,4,31,15.6,.587,.000,1.600,3.4,13.2,8.4,4.6,6.5,0.0,0.0,11.6,0.1,0.1,0.1,.229,-1.0,4.9,3.9,0.0,,tolbera01
108,Jim Chones,32,WSB,C,5,30,2.4,.242,.000,.333,3.6,19.2,11.2,9.5,1.7,3.9,8.8,15.8,-0.1,0.1,0.0,-0.057,-7.1,1.9,-5.2,0.0,,choneji01
109,Ed Rains,25,SAS,SF,5,30,11.0,.502,.000,1.500,10.0,18.3,13.9,4.2,1.6,0.0,9.1,14.4,0.0,0.0,0.0,.074,-2.8,0.5,-2.3,0.0,,rainsed01
110,Rudy Macklin,23,ATL,SF,2,30,14.1,.658,.125,.750,11.9,0.0,6.6,6.8,0.0,0.0,15.8,19.8,0.1,0.0,0.1,.137,0.1,-1.1,-1.0,0.0,,macklru01
111,Danny Vranes,23,SEA,SF,6,29,-1.9,.255,.000,.400,3.7,3.5,3.6,0.0,1.7,0.0,25.4,11.5,-0.1,0.0,-0.1,-0.114,-7.5,-2.6,-10.1,-0.1,,vraneda01
112,Garry Witts,22,WSB,SF,4,28,10.1,.868,.000,1.000,7.8,4.1,6.0,10.2,1.8,0.0,0.0,4.3,0.1,0.0,0.1,.188,0.4,2.4,2.8,0.0,,wittsga01
113,Wes Matthews,22,ATL,PG,2,28,3.1,.340,.000,.400,0.0,0.0,0.0,25.9,0.0,2.3,14.5,23.0,-0.1,0.0,-0.1,-0.141,-5.5,-2.4,-7.9,0.0,,matthwe01
114,Harvey Catchings,30,MIL,PF,6,26,4.0,.667,.000,.000,13.4,21.8,17.2,0.0,0.0,7.1,50.0,9.8,0.0,0.0,0.0,-0.043,-9.5,1.4,-8.0,0.0,,catchha01
115,James Bailey,24,NJN,PF,2,26,6.6,.515,.000,.667,8.8,18.9,13.7,5.3,3.8,2.4,43.6,11.3,0.0,0.1,0.0,.019,-8.0,2.6,-5.4,0.0,,baileja01
116,Dudley Bradley,24,PHO,SG,7,24,-0.9,.296,.000,.125,0.0,4.7,2.3,23.6,1.9,2.2,37.2,22.0,-0.1,0.0,-0.1,-0.290,-10.0,-2.7,-12.8,-0.1,,bradldu01
117,Joel Kramer,26,PHO,PF,4,20,23.4,.721,.000,.429,10.5,17.0,13.6,7.0,2.3,0.0,10.7,18.3,0.1,0.0,0.1,.203,3.8,0.7,4.5,0.0,,kramejo01
118,Charles Bradley,22,BOS,SG,7,18,-9.1,.225,.000,.250,6.0,22.8,14.6,7.6,2.7,0.0,31.1,29.1,-0.2,0.0,-0.1,-0.350,-17.9,-3.1,-21.0,-0.1,,bradlch01
